Año,Autoridad Portuaria,Graneles Líquidos,Graneles Sólidos,Mercancía General,Pesca Fresca,Avitua- llamiento,Tráfico Local,TOTAL TRAFICO,TEUS,Buques
1999,Barcelona,8499596,4053580,15323550,6183,625601,0,28508510,1234987,9204
1999,Bilbao,14326221,4387107,7316567,15,131748,893876,27055534,377307,3869
1999,Cartagena,8848651,2947000,582975,3251,84365,4918,12471160,47728,1603
1999,Castellón,7217360,1293305,521850,20497,26810,0,9079822,14432,939
1999,Ceuta ,1822009,52284,649065,269,532400,0,3056027,10532,12644
1999,Ferrol-S. Cibrao  ,896042,7137385,403566,348,24910,31733,8493984,106,993
1999,Gijón,1399358,16185221,582968,2656,162855,90557,18423615,14217,1131
1999,Huelva,9300916,5482893,848159,7065,51601,2115,15692749,0,1803
1999,Las Palmas,4197522,1303607,9207205,93137,1924327,0,16725798,635887,11739
1999,Málaga,7464158,1218973,374238,5364,146165,481,9209379,4656,1401
1999,Marín y Ría de Pontevedra,0,716389,929968,8927,98939,0,1754223,42794,1007
1999,Melilla,78602,56850,631415,0,10519,0,777386,23288,1138
1999,Pasaia,253645,2570039,1664042,14092,50890,0,4552708,0,1499
1999,Santa Cruz de Tenerife,8211895,1235418,5481730,3844,989925,0,15922812,366806,19252
1999,Santander,353850,3693002,1126143,7965,94836,0,5275796,1582,1577
1999,Sevilla,309902,2186308,1459513,0,4960,382,3961065,72600,1470
1999,Tarragona,15489206,8708864,924676,8243,285627,2000,25418616,39423,2356
1999,Valencia,1644757,5033379,17188012,2847,216358,0,24085353,1170191,6360
1999,Vigo,55220,442954,2656227,82269,272784,560,3510014,135020,2498
1999,Vilagarcía,145125,386183,239641,0,8261,5310,784520,0,406
1998,A Coruña,7762420,2688004,273849,45451,177248,881805,11828777,98,1262
1998,Alicante,180779,1329345,1078807,11605,45703,0,2646239,89195,1207
1998,Almería-Motril,955362,6476159,555041,7301,77185,0,8071048,5,1959
1998,Avilés,613493,1816137,1405433,16947,57148,0,3909158,7,984
1998,Bahía de Algeciras,18451404,1903441,21771428,14687,1877272,1201837,45220069,1825614,19920
1998,Bahía de Cádiz,92385,1229932,2359013,37083,268185,20852,4007450,61097,1873
1998,Baleares,1323670,1610200,5037488,2025,34088,75295,8082766,225059,8064
1998,Barcelona,7238423,4406605,13080089,4396,609623,0,25339136,1095113,7712
1998,Bilbao,15109607,3975511,7353666,24,133112,669591,27241511,368072,3904
1998,Cartagena,8456135,2557998,568558,3135,111601,3293,11700720,38450,1452
1998,Castellón,6792749,1061677,605690,18408,25615,0,8504139,27659,960
1998,Ceuta ,3374706,38945,672121,345,556420,0,4642537,9860,11804
1998,Ferrol-S. Cibrao  ,721125,6948446,354863,608,26950,716,8052708,97,1051
1998,Gijón,1356447,13089655,567843,2610,140966,96302,15253823,8785,921
1998,Huelva,8256777,5504157,709655,7232,55457,4055,14537333,0,1629
1998,Las Palmas,3988015,1101600,7513063,124522,1851841,0,14579041,490577,11048
1998,Málaga,7466648,1318292,416762,4509,134952,426,9341589,4537,1259
1998,Marín y Ría de Pontevedra,0,699661,638990,9861,87610,0,1436122,21204,1022
1998,Melilla,86908,47345,679050,0,9870,0,823173,20716,1174
1998,Pasaia,254619,2194286,1492639,13976,52407,0,4007927,368,1367
1998,Santa Cruz de Tenerife,8147878,1222824,5120438,3717,1020783,0,15515640,324672,18353
1998,Santander,403938,3326901,1111641,8811,98092,0,4949383,495,1493
1998,Sevilla,311282,2247747,1303767,0,5139,0,3867935,66061,1313
1998,Tarragona,16730549,7978546,835069,7546,271890,7182,25830782,31302,2276
1998,Valencia,1337569,3888515,15031599,3492,239175,0,20500350,1005397,6134
1998,Vigo,51683,469881,2466887,80854,254379,3577,3327261,118520,2233
1998,Vilagarcía,145059,317274,196457,0,7657,135,666582,0,341
1997,A Coruña,7645642,2613322,167206,50008,200438,752377,11428993,1958,1090
1997,Alicante,133316,1036364,961135,13843,47479,0,2192137,85481,1148
1997,Almería-Motril,776822,4655039,494537,8712,67911,0,6003021,48,2074
1997,Avilés,722150,1663893,1284900,19486,57692,0,3748121,3,979
1997,Bahía de Algeciras,16906581,1758958,18633911,13961,1672159,1061655,40047225,1537627,19346
1997,Bahía de Cádiz,78860,1066629,2021437,32949,271201,19578,3490654,56004,1832
1997,Baleares,7693971,1392243,4667066,3019,87495,77420,13921214,187827,7891
